meta_rxn_id,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval
1143,1014.0,3.393788103918807e-05,1.0662402579478365,0.0014584804376591072
1144,816.0,0.055887629288440925,0.3786348274086618,0.17660079916696683
1145,692.0,0.6077926760077248,0.1114407335534931,0.7126845907621275
1146,728.0,0.3579405763949812,0.27911821888022986,0.4966100490903735
1147,721.0,0.40071867742834355,0.14285308569162602,0.5343951951119648
1148,731.0,0.3405214216895964,0.18070656283689693,0.4809830105870306
1149,770.0,0.16360642775561074,0.28849855741503466,0.311795398350216
1150,746.0,0.26172166631607285,0.26124949413328385,0.40678078155273895
1151,733.0,0.32921567064347534,0.14520824819283518,0.4696445957146341
1152,810.0,0.06514925022960544,0.34159494029246,0.18727685810149122
1153,763.0,0.18881719051991175,0.25801920920948446,0.33774895994144466
1154,760.0,0.20045824904981469,0.23412434870500864,0.35197929531831607
1155,916.0,0.002366709662964785,0.7402626802454094,0.02495934914500899
1156,796.0,0.09173482523806978,0.41690933062900976,0.22787885055526294
1157,751.0,0.2385058250908817,0.11684313445627853,0.3878822264250006
1158,782.0,0.12641307815337005,0.22795582830449038,0.2706152943283227
1159,873.0,0.010623224656716928,0.4944256549035034,0.06839446885728989
1160,892.0,0.005619950723967501,0.5040302644269273,0.04493346648604713
1161,961.0,0.00038895180018311054,0.7399988435102901,0.007267479831682249
1162,929.0,0.0014399648258234658,0.6549213244310542,0.01755531585525204
1163,838.0,0.03076767866936842,0.42485323792036334,0.12713855680924116
1164,844.0,0.025897675477962966,0.3415836041696871,0.11473738182118128
1165,824.0,0.04526875894763675,0.45067095691785136,0.15532334656883748
1166,813.0,0.06037135393230837,0.34864397867997077,0.1817484367944625
1167,802.0,0.07943137879021925,0.38557333519978154,0.210065446369826
1168,836.0,0.032556935022143435,0.28652983894349,0.1323058423240297
1169,853.0,0.019845289393219345,0.44067107047349596,0.09719103266935628
1170,785.0,0.11823149790332725,0.186178621822773,0.2612338623339583
1171,829.0,0.03953764632503765,0.2882991149827633,0.1433865274952315
1172,820.0,0.050343977311677966,0.19904838882341194,0.1657879252850085
1173,755.0,0.2210093690314341,0.16264022514815527,0.3724657895735639
1174,795.0,0.09392698360100028,0.2516993308551642,0.23000069061270584
1175,805.0,0.07380278667409777,0.18113632229965873,0.19955723638323825
1176,842.0,0.02744123351378389,0.20402926771734248,0.11705081987641316
1177,801.0,0.08138337468973665,0.1827218227309732,0.21358476502543097
1178,750.0,0.2430286930180392,0.13392215735983165,0.39043581616636386
1179,785.0,0.11823149790332725,0.2246731591890643,0.2612338623339583
1180,780.0,0.13210792043649136,0.19055034663746825,0.27728145937769066
1181,752.0,0.23404269335962813,0.1330374178607526,0.38425920714918893
1182,815.0,0.05735034325439514,0.33910186782060725,0.17731158283148424
1183,769.0,0.1670440282429806,0.18069772450038257,0.31624304465824193
1184,779.0,0.135028898877286,0.17727092195067637,0.28067071000006605
1185,770.0,0.16360642775561074,0.1627523354708807,0.311795398350216
1186,789.0,0.10797570822407274,0.16451655548740543,0.2481420353438249
1187,786.0,0.11559856460678632,0.17136603076862464,0.25907944271064626
